Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
280120,125385,53,0,Engineering and Engineering trades Programs,10000,6,1
117005,89572,86,240,Grade 5,0,8,1
114220,81598,38,240,High School Graduate,220,5,0
298126,60346,83,0,Fourth Year College,0,3,0
485633,138744,38,60,Elementary Graduate,22050,5,1
92782,84402,41,252,First Year High School,630,4,1
136934,86715,64,0,Grade 3,300,6,0
50561,21156,79,0,Grade 1,0,1,0
109428,54897,69,0,High School Graduate,0,3,2
133765,91565,45,0,High School Graduate,300,6,1
128110,66834,30,1820,Elementary Graduate,300,2,1
111815,83929,35,1586,Elementary Graduate,300,6,2
92715,61157,29,0,High School Graduate,290,2,1
146650,77453,58,4222,Elementary Graduate,260,4,2
293200,116176,39,1140,"Agriculture, Forestry, and Fishery Programs",4500,3,0
179704,78527,36,4264,Second Year High School,150,3,0
152620,67808,56,1040,Elementary Graduate,150,4,3
72175,75561,55,504,Third Year College,0,3,3
105440,51361,46,0,Third Year High School,360,4,1
130495,71274,85,239,Grade 1,0,4,2
130825,105283,46,0,Elementary Graduate,9000,7,4
77635,39704,71,0,No Grade Completed,0,2,0
111570,58107,48,480,Third Year High School,0,3,2
121160,78639,35,0,Second Year College,50,4,1
96125,77282,36,240,Elementary Graduate,1410,5,2
379828,92768,41,1500,Engineering and Engineering trades Programs,500,6,1
146920,71753,65,1920,Elementary Graduate,0,8,2
214700,69690,56,720,Engineering and Engineering trades Programs,7900,4,0
239598,75131,54,126,Teacher Training and Education Sciences Programs,9000,3,0
69635,17781,80,0,Grade 1,0,1,0
116360,31647,83,0,High School Graduate,0,1,0
181498,61150,32,480,Third Year High School,750,4,0
148690,76530,42,216,Grade 2,600,3,0
129800,51564,55,240,Grade 4,150,3,2
163400,88741,35,1040,Engineering and Engineering trades Programs,950,6,1
72120,67218,37,252,High School Graduate,600,4,2
259780,115255,35,1040,Third Year College,830,6,2
104905,47168,30,0,Grade 5,2100,4,1
63825,34183,31,300,Elementary Graduate,0,2,0
120090,84796,35,1220,High School Graduate,650,7,0
301873,48761,46,1584,High School Graduate,150,4,1
116643,60154,51,881,Grade 3,0,4,0
183630,77020,67,1900,Grade 5,350,5,0
115855,65344,72,1505,High School Graduate,100,8,1
164342,75244,46,1211,First Year College,1650,5,0
155626,92403,66,611,Elementary Graduate,150,9,4
65490,24028,48,0,Second Year High School,0,1,1
125396,87336,65,840,First Year High School,2200,10,0
145635,56417,53,611,Elementary Graduate,0,4,0
188475,96122,46,0,High School Graduate,150,7,0
107420,78178,50,285,Grade 4,150,6,1
116400,59311,65,135,Elementary Graduate,35,4,1
164315,63163,67,2080,No Grade Completed,3991,4,0
491010,87892,60,2650,High School Graduate,2360,4,1
113905,61535,33,1920,Engineering and Engineering Trades Programs,0,6,1
62255,54527,78,0,Grade 2,0,5,0
98305,37688,49,0,High School Graduate,250,4,0
117793,46384,46,2960,Second Year High School,300,7,1
329067,71267,60,1820,Grade 2,4800,4,0
148580,40210,70,650,Elementary Graduate,0,4,1
164046,41911,70,0,Elementary Graduate,0,3,2
312610,61587,51,1980,High School Graduate,0,5,2
134410,96729,45,360,Third Year High School,150,2,0
541874,72496,50,1300,Teacher Training and Education Sciences Programs,0,5,1
125695,88944,53,900,Grade 3,2600,9,3
78480,29889,75,0,Grade 1,0,3,1
163530,66330,32,720,High School Graduate,300,7,1
162480,50381,41,1660,Teacher Training and Education Sciences Programs,150,4,0
151395,59989,39,1660,First Year College,4000,5,1
95975,45212,48,770,Third Year High School,5600,5,2
77275,34475,78,650,Grade 2,0,4,1
96370,54271,31,1690,Second Year College,150,6,0
1051758,238375,81,540,"Agriculture, Forestry, and Fishery Programs",1400,8,3
143650,102403,52,1478,Grade 1,1270,8,3
211703,124068,43,1080,Engineering and Engineering Trades Programs,3650,4,2
101290,77440,54,1606,First Year College,15500,2,0
383617,124651,42,1650,Third Year College,32350,5,1
119143,93994,68,135,Grade 6,0,8,1
110848,84962,34,381,High School Graduate,700,6,1
131847,88115,51,258,Elementary Graduate,1800,6,1
184738,67950,33,0,First Year College,0,2,0
115140,85771,45,533,Grade 4,6830,6,2
120690,102806,42,528,First Year College,8160,7,2
79995,63149,33,3172,Elementary Graduate,1450,4,2
121986,76516,42,533,Elementary Graduate,2500,3,0
134555,76259,38,11166,High School Graduate,3150,4,1
177364,128061,47,2170,High School Graduate,13400,6,2
41138,22189,75,0,Grade 4,0,1,0
212782,127832,56,291,First Year High School,370,5,2
242970,105256,54,246,Grade 3,410,8,3
81836,62503,32,1286,Second Year High School,0,4,2
133045,91993,56,1310,No Grade Completed,239,6,4
92955,62989,31,240,High School Graduate,0,2,1
248250,104484,40,3660,Security Services Programs,15185,3,1
135597,85763,53,1170,High School Graduate,0,4,3
141000,104389,46,0,Basic Programs,1400,6,2
132053,90846,39,540,High School Graduate,150,6,3
173621,62063,54,0,No Grade Completed,100,5,3
74843,36052,68,270,No Grade Completed,0,2,2
180521,71774,43,3390,High School Graduate,1300,2,0
148243,98443,56,3705,Business and Administration Programs,0,7,2
211154,93387,48,2665,High School Graduate,0,6,2
269702,27529,78,0,Elementary Graduate,0,2,0
222351,103206,59,270,High School Graduate,600,9,4
135602,47693,47,540,First Year College,0,1,0
295225,112200,59,1310,Elementary Graduate,2600,6,1
419138,65512,48,2080,Teacher Training and Education Sciences Programs,320,4,1
357946,104620,54,988,High School Graduate,0,4,0
533840,111206,56,0,Engineering and Engineering Trades Programs,0,2,1
107867,39359,62,1560,High School Graduate,0,2,0
104656,47992,58,474,First Year High School,0,2,1
140329,60553,54,0,Business and Administration Programs,0,2,0
92719,54761,48,870,Elementary Graduate,0,3,3
144398,83332,65,720,High School Graduate,1150,5,2
87069,62245,87,0,Grade 3,0,5,0
129628,153540,29,240,Elementary Graduate,100,4,2
120140,67330,56,0,Elementary Graduate,200,4,1
438261,100370,47,0,Health Programs,600,4,0
383498,77175,39,0,First Year Post Secondary,575,5,1
275729,126018,45,2132,First Year College,350,13,7
117904,65370,45,4420,High School Graduate,690,4,1
213286,80490,59,210,First Year High School,0,8,5
108801,47437,72,0,High School Graduate,0,2,1
166275,66602,54,1430,High School Graduate,0,5,2
72826,55993,35,910,High School Graduate,60,3,2
122335,89906,49,0,High School Graduate,1930,10,3
156865,50708,56,222,Business and Administration Programs,0,2,0
117841,55192,58,1000,High School Graduate,0,3,2
103260,48660,58,870,High School Graduate,229,5,2
95622,47654,60,0,Grade 4,0,4,1
115450,32746,76,0,Grade 4,0,2,0
121453,58522,34,715,High School Graduate,375,3,2
207425,108722,49,1388,Grade 3,2700,7,2
162723,102594,99,1755,Grade 3,520,8,0
91835,59271,42,270,High School Graduate,600,4,1
65220,58349,28,276,Second Year High School,0,4,1
261545,76109,61,90,Grade 2,0,6,0
101515,69480,57,315,Grade 3,0,5,3
64113,55424,67,0,Grade 1,0,5,1
120500,79480,42,270,High School Graduate,530,8,0
98429,78588,86,270,Grade 4,500,7,0
47420,24004,41,546,High School Graduate,0,1,1
76455,86244,34,655,Elementary Graduate,300,8,3
66030,39588,65,0,Elementary Graduate,0,2,1
135875,67890,64,1320,Elementary Graduate,870,6,3
72695,34311,75,0,Elementary Graduate,0,1,0
294886,99592,67,0,Humanities Programs,2750,6,1
42265,27599,55,270,Elementary Graduate,0,1,1
159545,30457,25,520,Second Year High School,0,4,1
110775,54801,59,270,Elementary Graduate,0,4,0
174155,53155,76,420,No Grade Completed,370,3,0
349579,63465,68,2535,Grade 3,200,4,1
104895,46226,28,0,Third Year High School,600,2,1
157759,76577,48,750,High School Graduate,15026,4,2
103545,51053,76,0,Grade 3,0,2,0
208074,89924,63,0,Grade 4,1800,4,1
164464,74331,56,1180,Elementary Graduate,350,7,2
145666,79612,75,0,Grade 5,520,5,2
158977,94207,59,870,Social and Behavioral Science Programs,12300,5,1
158061,68256,55,1211,High School Graduate,1110,4,2
167888,87262,78,0,Grade 4,560,3,0
125284,79565,39,0,Elementary Graduate,2410,5,1
183770,83931,62,1865,High School Graduate,0,3,3
521338,145444,68,4368,Business and Administration Programs,650,7,4
157183,85129,54,2072,Elementary Graduate,260,8,3
162125,42476,49,1104,Third Year High School,0,1,0
94526,63345,66,940,Elementary Graduate,0,3,1
153195,48842,55,270,First Year College,0,3,0
193810,90109,36,1495,High School Graduate,3030,4,0
182344,64202,46,1950,High School Graduate,470,7,5
336128,77820,57,2900,Health Programs,0,1,1
237680,82489,34,1938,Security Services Programs,235,5,3
82946,52483,84,2341,Grade 3,500,5,1
184632,87241,45,0,Grade 6,475,6,3
115317,69449,66,0,High School Graduate,0,2,0
83838,75192,79,0,Grade 4,0,2,0
206668,31191,67,3224,First Year High School,0,1,0
100004,54876,35,190,Second Year High School,623,3,1
88411,68155,34,2124,Second Year High School,780,6,1
98304,74987,35,0,Elementary Graduate,420,6,1
136952,85602,43,612,High School Graduate,1235,6,2
144470,92963,50,5070,High School Graduate,1310,6,4
79984,63509,81,288,Elementary Graduate,130,6,1
98648,45052,36,1308,High School Graduate,75,3,2
71260,52127,58,45,Second Year Post Secondary,0,2,0
140033,70216,42,2700,Third Year High School,29284,4,1
821833,169516,62,480,Post Baccalaureate,64700,6,2
163014,73984,42,270,First Year High School,23584,6,0
81900,38816,42,300,First Year High School,0,5,1
46160,26523,38,225,First Year High School,125,5,1
90330,39671,52,720,First Year High School,2990,8,2
34935,15426,71,0,Elementary Graduate,0,2,0
45482,20933,38,180,First Year College,0,2,0
80651,38096,42,30,First Year High School,3950,5,1
109764,55981,41,270,High School Graduate,7596,4,1
335426,87341,41,2386,Security Services Programs,9070,5,1
384167,88383,44,0,Third Year High School,51200,5,1
122035,57017,68,100,Elementary Graduate,0,5,1
135150,54466,53,7280,First Year High School,0,3,2
79815,23415,31,2600,Grade 6,0,1,0
127335,46409,60,0,Elementary Graduate,4045,5,1
59458,18329,76,0,First Year High School,0,2,0
172268,84121,68,90,Elementary Graduate,30,5,1
89510,36762,85,0,High School Graduate,14080,4,0
259070,71421,45,0,High School Graduate,11000,5,1
56966,47421,62,181,Elementary Graduate,185,4,0
208273,89519,40,435,Third Year College,28910,4,1
40444,27410,67,0,No Grade Completed,530,4,1
61523,48394,57,180,No Grade Completed,1450,8,1
133156,75078,52,778,Grade 2,950,8,1
144686,95437,58,910,Grade 4,25300,7,1
303605,58580,65,1476,Grade 5,150,5,0
358410,72599,46,690,Grade 5,67900,6,2
71898,56792,46,782,Grade 4,950,7,2
48170,34757,54,270,Grade 4,300,3,0
68145,62982,41,780,No Grade Completed,630,5,1
54480,27377,39,1170,High School Graduate,0,1,0
95228,46023,74,2880,Elementary Graduate,0,2,0
76920,36802,62,36,Business and Administration Programs,0,2,1
200648,99634,52,1497,High School Graduate,500,7,2
127332,86786,73,0,First Year College,750,12,1
163508,111789,64,0,Grade 5,1280,7,1
133016,50479,67,480,High School Graduate,0,3,1
478701,118660,49,4080,High School Graduate,49075,8,3
131699,103235,48,270,Third Year High School,1000,7,3
176618,83044,53,0,High School Graduate,1220,5,2
173995,75876,41,48,High School Graduate,2079,4,1
233100,132484,42,0,High School Graduate,1595,6,1
297366,103494,54,0,Engineering and Engineering Trades Programs,0,1,0
201271,82453,58,0,Transport Services Programs,0,4,0
879038,156084,55,0,Business and Administration Programs,14350,5,3
397440,170599,69,1130,Teacher Training and Education Sciences Programs,400,7,3
342207,74885,18,0,Second Year College,77000,2,0
718238,180371,60,1656,High School Graduate,11350,8,4
124140,57186,66,0,Business and Administration Programs,0,3,1
511900,166848,43,0,Second Year Post Secondary,2570,4,2
275938,104699,39,0,Teacher Training and Education Sciences Programs,58000,3,1
1107119,122507,52,2660,Post Baccalaureate,73800,4,2
327272,116225,69,0,Teacher Training and Education Sciences Programs,52000,3,1
242800,67405,60,480,Health Programs,11600,2,1
647108,162785,44,600,Engineering and Engineering Trades Programs,4650,5,2
352952,93499,42,0,Business and Administration Programs,12200,2,1
212350,58678,27,0,Second Year Post Secondary,0,2,2
755000,167138,50,840,Business and Administration Programs,7000,5,0
297180,129340,62,5700,High School Graduate,2050,6,1
243548,121377,41,0,Humanities Programs,15400,4,1
375770,120955,41,0,Transport Services Programs,69900,5,1
50722,32554,43,0,Grade 5,0,1,1
30367,17618,32,300,Grade 5,0,1,1
152834,94653,25,2920,Grade 4,610,4,2
92243,37572,78,1620,Grade 3,2250,4,0
85409,43050,35,938,Grade 4,910,5,2
67940,32955,61,0,Grade 1,460,3,1
108468,75333,32,390,High School Graduate,1326,6,1
370960,103719,51,840,Third Year High School,0,6,2
90946,52563,70,0,Grade 5,490,3,1
23253,15129,70,168,Grade 3,0,1,0
172427,118463,59,300,Third Year High School,710,7,5
59415,35895,59,0,Grade 4,500,4,3
106323,51626,45,80,First Year High School,250,4,1
221671,124464,55,0,Second Year High School,2250,6,3
95212,72330,52,732,First Year High School,3620,6,0
89356,45735,35,2190,First Year High School,1110,4,0
1570874,220630,43,0,Security Services Programs,44772,5,3
963550,34879,78,0,Business and Administration Programs,0,2,0
115208,54891,58,0,Business and Administration Programs,0,2,1
714506,144639,39,0,Post Baccalaureate,47000,2,1
92319,69082,49,1170,First Year High School,4300,5,2
681291,110989,56,0,Basic Programs,43600,5,2
1044680,170469,60,0,Basic Programs,83400,4,2
379500,80405,65,0,Second Year College,0,3,1
342410,105485,50,1170,High School Graduate,9850,7,2
234774,71125,62,900,High School Graduate,0,3,1
310538,95994,56,480,Third Year High School,12000,6,2
130820,97088,46,0,Elementary Graduate,2500,10,4
323633,135102,40,1800,High School Graduate,2750,6,1
112260,49360,79,0,Elementary Graduate,0,3,1
380868,255846,42,3792,High School Graduate,5120,10,0
241920,56243,56,1275,Third Year High School,1390,4,0
108593,55720,50,720,High School Graduate,8145,5,3
164268,86030,51,0,Grade 3,835,5,2
230644,77006,48,23750,Elementary Graduate,0,4,3
287585,153658,50,0,First Year High School,32500,5,0
294500,121076,62,0,Second Year College,31246,6,0
141098,69811,53,95,High School Graduate,4200,6,1
176280,65935,46,0,Second Year College,40340,4,1
67506,39894,75,360,Grade 2,800,4,1
93432,32139,51,3092,High School Graduate,0,2,1
71980,14529,20,4160,High School Graduate,0,1,1
84920,55045,30,0,Grade 5,900,5,0
159600,95680,65,0,Computing/Information Technology Programs,2248,3,1
162948,69812,55,7410,Grade 3,4575,6,1
168226,99627,68,2884,Second Year High School,1810,3,2
76769,35410,60,840,High School Graduate,0,2,0
139057,42834,51,1920,High School Graduate,19000,4,1
350128,109248,64,1860,High School Graduate,750,9,3
277911,139049,75,3420,No Grade Completed,1310,11,4
68429,49817,59,0,Elementary Graduate,550,2,1
419430,175659,63,6930,High School Graduate,0,6,4
299196,106288,60,0,Business and Administration Programs,69650,6,3
88893,45549,65,0,Second Year Post Secondary,17300,2,1
148472,85140,43,5330,High School Graduate,1158,5,2
136572,52245,38,1872,High School Graduate,574,4,0
116682,69185,31,0,Second Year High School,200,4,1
109842,63182,74,558,High School Graduate,200,5,2
189194,95113,37,960,High School Graduate,1140,5,2
193805,117348,49,930,High School Graduate,11700,5,2
176698,72389,58,2070,High School Graduate,1500,4,2
371060,67835,67,1950,Second Year College,0,3,1
218540,75920,54,1080,High School Graduate,0,3,1
206199,122592,54,546,High School Graduate,3000,7,3
122713,72625,39,235,High School Graduate,535,6,0
161963,79023,66,1500,Second Year College,500,4,1
141306,86565,33,2574,Security Services Programs,1600,6,1
59839,35812,63,3150,Grade 5,120,4,2
61415,48811,55,1200,Elementary Graduate,600,5,0
29174,16663,59,0,Second Year High School,0,1,0
92399,60926,53,245,Grade 2,790,6,1
104633,72262,39,480,High School Graduate,1200,5,1
116683,50153,57,300,Elementary Graduate,1210,4,2
100687,57724,59,250,Grade 3,900,5,1
81452,35564,68,0,First Year High School,2500,2,0
89722,66817,31,0,Transport Services Programs,200,8,0
95224,66427,44,750,High School Graduate,848,6,1
78874,57693,65,525,Elementary Graduate,780,5,1
212760,64805,63,0,Grade 3,300,4,1
314739,161834,65,3915,Third Year College,40000,7,0
101717,77194,44,0,Grade 5,2912,8,1
181293,71960,47,166,Grade 3,3582,9,0
301538,99617,50,0,Grade 3,18350,4,0
74280,53561,22,0,Elementary Graduate,650,5,0
126500,67646,48,200,High School Graduate,4070,5,1
217666,91666,30,6760,Mathematics and Statistics Programs,2500,3,2
206211,122827,62,5488,Elementary Graduate,815,9,3
169742,88877,30,1440,High School Graduate,0,3,2
134277,58216,77,0,High School Graduate,1025,8,1
129257,69469,32,2040,Grade 3,1700,8,2
209483,135702,58,0,Elementary Graduate,1310,10,4
112990,46873,78,0,First Year High School,0,3,1
202140,99962,42,1800,High School Graduate,43415,6,0
29358,13848,78,0,Grade 5,0,2,1
335167,140208,36,100,Third Year College,1600,4,2
134281,97845,42,168,Third Year High School,1520,6,2
540882,231330,37,9094,Computing/Information Technology Programs,48700,8,2
224252,43190,59,1128,First Year College,0,2,1
80340,56463,64,0,Elementary Graduate,1950,2,1
138830,66097,47,0,Grade 5,11000,6,3
225890,109306,63,0,High School Graduate,0,3,0
453130,83440,48,1100,High School Graduate,0,3,1
150310,72682,46,570,Second Year College,1920,4,1
1538900,525265,53,18668,Business and Administration Programs,64500,9,3
97615,34253,64,960,Second Year High School,0,3,0
111876,77138,66,0,Third Year High School,1050,8,3
221760,98005,63,0,Grade 1,12100,7,0
173848,67835,66,1470,Elementary Graduate,1025,5,2
214630,96846,35,1920,First Year College,550,6,1
146110,64062,33,270,Grade 5,0,3,2
322000,130348,42,1280,Personal Services Programs,146920,4,1
146020,35728,62,0,High School Graduate,0,2,1
194644,101943,54,1194,High School Graduate,13390,9,4
462847,169033,51,0,Basic Programs,42000,7,1
263158,46219,58,0,High School Graduate,4000,2,1
190305,116480,41,3000,Second Year High School,2800,5,2
161541,91340,57,0,Elementary Graduate,1800,3,1
123197,54899,35,410,High School Graduate,1635,4,2
383454,102942,34,1485,Computing/Information Technology Programs,1930,4,2
59748,30000,57,0,High School Graduate,0,1,1
90022,50883,60,85,Grade 4,0,2,0
673434,258556,63,5590,Elementary Graduate,105750,9,1
86970,44143,47,0,Elementary Graduate,0,3,2
116883,36937,73,2165,Elementary Graduate,0,2,1
25584,8361,74,0,Grade 2,0,1,0
151127,91994,45,0,First Year College,1520,5,1
130339,64126,57,5300,Elementary Graduate,0,3,2
70531,36763,74,0,Elementary Graduate,0,1,0
93747,54204,43,440,High School Graduate,1290,5,1
341210,111255,61,4332,Second Year High School,0,10,3
129644,123341,31,2120,Second Year High School,1220,6,2
159844,73492,34,0,First Year College,600,5,1
27413,20599,55,0,Grade 5,0,1,0
306692,87801,41,11795,High School Graduate,2520,3,0
145708,63299,80,0,Third Year High School,2200,2,0
637430,149631,57,900,Third Year College,0,4,3
218563,72954,43,0,High School Graduate,5000,5,1
276320,63560,58,0,Business and Administration Programs,0,4,2
729200,189174,59,480,Third Year College,0,5,2
339570,150472,37,129,High School Graduate,5905,7,0
515601,120226,34,0,Engineering and Engineering Trades Programs,0,3,2
305992,100752,50,1845,Elementary Graduate,3651,5,2
236605,74240,76,0,Second Year College,0,2,1
312633,83691,69,80,Elementary Graduate,0,4,2
193909,100687,45,1145,Third Year College,2825,6,1
395092,241786,45,0,Grade 2,4150,15,5
39800,18072,54,0,Second Year College,0,1,1
145800,94063,51,4208,Elementary Graduate,4900,8,2
612910,153469,62,7730,Business and Administration Programs,23000,6,2
320180,42251,27,745,Transport Services Programs,0,1,0
271203,96848,65,0,Second Year College,750,10,4
506780,112527,65,0,Second Year Post Secondary,800,4,1
228870,96042,55,296,High School Graduate,0,5,1
132070,87512,32,0,High School Graduate,2665,5,1
398015,178706,41,3630,High School Graduate,29470,6,1
120090,87566,85,1440,No Grade Completed,1550,6,2
399215,241070,50,2700,Elementary Graduate,62770,8,1
141277,78549,56,0,Elementary Graduate,1400,7,4
116805,79756,70,0,High School Graduate,4600,6,2
231880,114536,43,150,High School Graduate,20000,4,0
94918,55607,37,0,Third Year College,3079,6,1
155025,86576,52,1180,Grade 5,2025,4,0
660738,114838,49,0,Second Year Post Secondary,119700,4,0
116055,88044,57,295,Second Year High School,1200,4,0
295156,126225,53,2548,Business and Administration Programs,0,7,3
427976,104252,45,8860,Business and Administration Programs,20500,1,1
247002,76896,65,820,Post Baccalaureate,2600,2,1
234661,119905,22,2718,Computing/Information Technology Programs,14700,3,1
79019,37660,58,2568,Second Year High School,0,2,0
100658,52374,39,708,Second Year High School,0,3,1
134573,49407,58,1800,Elementary Graduate,0,2,0
197672,72971,40,33303,Third Year College,29200,7,3
344190,111473,62,2078,High School Graduate,0,3,1
1606308,720007,71,8880,Elementary Graduate,34436,17,5
273820,117996,47,0,Security Services Programs,23903,6,0
96300,28822,62,90,High School Graduate,0,1,0
144737,91021,43,420,First Year High School,6600,7,0
136122,60567,74,0,High School Graduate,0,2,1
646260,235384,56,4924,Law Programs,83000,6,0
136069,73707,51,1014,Third Year High School,0,4,2
56106,29421,49,0,Third Year High School,0,4,1
57875,51076,48,215,High School Graduate,530,4,0
130474,48243,46,0,Grade 4,550,2,0
68657,38945,69,0,Grade 4,0,4,1
335098,131890,55,1800,Elementary Graduate,32695,10,4
172405,93381,38,1050,High School Graduate,750,4,0
72820,66933,64,270,Second Year High School,440,3,0
109883,69962,43,1294,Grade 1,4400,5,2
51210,35140,47,0,Elementary Graduate,800,4,1
119960,60407,31,3030,Third Year High School,1300,6,1
149700,55732,32,480,High School Graduate,0,1,1
544170,139663,34,1950,First Year High School,20260,4,0
281201,89024,64,100,Teacher Training and Education Sciences Programs,4880,6,0
1796730,195380,63,3150,Transport Services Programs,0,5,4
135124,85964,49,2340,High School Graduate,1705,5,1
205266,77650,54,0,Second Year High School,32620,3,1
186550,72838,58,4560,First Year College,0,1,1
92556,56957,43,0,High School Graduate,1350,7,1
171251,63036,34,1219,High School Graduate,200,6,3
